Name,Age,Nationality,Overall,Club,Value,Preferred Positions
M. Verratti,24,Italy,87,Paris Saint-Germain,€64.5M,CDM
P. Pogba,24,France,87,Manchester United,€66.5M,CDM
C. Eriksen,25,Denmark,87,Tottenham Hotspur,€65M,LM
A. Vidal,30,Chile,87,FC Bayern Munich,€37.5M,CM
E. Cavani,30,Uruguay,87,Paris Saint-Germain,€48.5M,ST
Marcelo,29,Brazil,87,Real Madrid CF,€38M,LB
M. Hamšík,29,Slovakia,87,Napoli,€48.5M,CM
I. Rakitić,29,Croatia,87,FC Barcelona,€48.5M,CM
David Silva,31,Spain,87,Manchester City,€44M,LM
S. Handanovič,32,Slovenia,87,Inter,€29M,GK
Piqué,30,Spain,87,FC Barcelona,€37.5M,CB
Iniesta,33,Spain,87,FC Barcelona,€29.5M,LM
H. Kane,23,England,86,Tottenham Hotspur,€59M,ST
J. Rodríguez,25,Colombia,86,FC Bayern Munich,€56M,RM
Isco,25,Spain,86,Real Madrid CF,€56.5M,LM
D. Alaba,25,Austria,86,FC Bayern Munich,€44.5M,CM
R. Lukaku,24,Belgium,86,Manchester United,€59M,ST
Alex Sandro,26,Brazil,86,Juventus,€44M,LM
T. Müller,27,Germany,86,FC Bayern Munich,€47.5M,ST
Sergio Busquets,28,Spain,86,FC Barcelona,€36M,CM
Coutinho,25,Brazil,86,Liverpool,€56M,CAM
M. Reus,28,Germany,86,Borussia Dortmund,€45M,LW
T. Alderweireld,28,Belgium,86,Tottenham Hotspur,€40.5M,CB
David Luiz,30,Brazil,86,Chelsea,€33M,CB
Diego Costa,28,Spain,86,Chelsea,€46M,ST
R. Nainggolan,29,Belgium,86,Roma,€42.5M,CAM
Javi Martínez,28,Spain,86,FC Bayern Munich,€36M,CDM
D. Mertens,30,Belgium,86,Napoli,€43M,ST
Sokratis,29,Greece,86,Borussia Dortmund,€34.5M,CB
Miranda,32,Brazil,86,Inter,€25.5M,CB
K. Benzema,29,France,86,Real Madrid CF,€44.5M,ST
Cesc Fàbregas,30,Spain,86,Chelsea,€41M,CAM
F. Ribéry,34,France,86,FC Bayern Munich,€22.5M,LW
Pepe,34,Portugal,86,Beşiktaş JK,€13.5M,CB
P. Čech,35,Czech Republic,86,Arsenal,€10.5M,GK
Y. Carrasco,23,Belgium,85,Atlético Madrid,€51.5M,RM
R. Varane,24,France,85,Real Madrid CF,€46.5M,CB
Casemiro,25,Brazil,85,Real Madrid CF,€42M,CDM
L. Insigne,26,Italy,85,Napoli,€45M,LW
A. Lacazette,26,France,85,Arsenal,€48.5M,ST
K. Navas,30,Costa Rica,85,Real Madrid CF,€24.5M,GK
H. Mkhitaryan,28,Armenia,85,Manchester United,€39M,LM
D. Subašić,32,Croatia,85,AS Monaco,€22M,GK
B. Leno,25,Germany,85,Bayer 04 Leverkusen,€34M,GK
M. ter Stegen,25,Germany,85,FC Barcelona,€35.5M,GK
K. Glik,29,Poland,85,AS Monaco,€30M,CB
Jordi Alba,28,Spain,85,FC Barcelona,€30.5M,LB
I. Gündoğan,26,Germany,85,Manchester City,€46M,CDM
Azpilicueta,27,Spain,85,Chelsea,€37.5M,LB
A. Di María,29,Argentina,85,Paris Saint-Germain,€37.5M,LW
M. Pjanić,27,Bosnia Herzegovina,85,Juventus,€43.5M,CDM
C. Marchisio,31,Italy,85,Juventus,€33M,CDM
J. Vertonghen,30,Belgium,85,Tottenham Hotspur,€28.5M,CB
B. Matuidi,30,France,85,Juventus,€28.5M,CM
S. Ruffier,30,France,85,AS Saint-Étienne,€24.5M,GK
Filipe Luís,31,Brazil,85,Atlético Madrid,€25M,LB
V. Kompany,31,Belgium,85,Manchester City,€26M,CB
A. Barzagli,36,Italy,85,Juventus,€5M,CB
E. Bailly,23,Ivory Coast,84,Manchester United,€35.5M,CB
Marco Asensio,21,Spain,84,Real Madrid CF,€46M,LW
Bernardo Silva,22,Portugal,84,Manchester City,€43.5M,RM
A. Laporte,23,France,84,Athletic Club de Bilbao,€35.5M,CB
D. Alli,21,England,84,Tottenham Hotspur,€43M,LM
S. Mané,25,Senegal,84,Liverpool,€39M,LW
Carvajal,25,Spain,84,Real Madrid CF,€32M,RB
J. Draxler,23,Germany,84,Paris Saint-Germain,€39.5M,LM
M. Icardi,24,Argentina,84,Inter,€42M,ST
Morata,24,Spain,84,Chelsea,€41M,ST
K. Koulibaly,26,Senegal,84,Napoli,€32.5M,CB
T. Horn,24,Germany,84,1. FC Köln,€31M,GK
Koke,25,Spain,84,Atlético Madrid,€39.5M,LM
K. Manolas,26,Greece,84,Roma,€31.5M,CB
S. Mustafi,25,Germany,84,Arsenal,€31.5M,CB
Ander Herrera,27,Spain,84,Manchester United,€32M,CDM
K. Strootman,27,Netherlands,84,Roma,€35M,CDM
Pedro,29,Spain,84,Chelsea,€30.5M,LW
R. Bürki,26,Switzerland,84,Borussia Dortmund,€26M,GK
Bruno,33,Spain,84,Villarreal CF,€18.5M,CDM
I. Perišić,28,Croatia,84,Inter,€31.5M,CAM
E. Džeko,31,Bosnia Herzegovina,84,Roma,€28M,ST
Willian,28,Brazil,84,Chelsea,€31.5M,CAM
S. Khedira,30,Germany,84,Juventus,€29M,CDM
R. Fährmann,28,Germany,84,FC Schalke 04,€25M,GK
Sergio Asenjo,28,Spain,84,Villarreal CF,€25M,GK
Juan Mata,29,Spain,84,Manchester United,€30.5M,RM
M. Benatia,30,Morocco,84,Juventus,€23M,CB
D. Payet,30,France,84,Olympique de Marseille,€29.5M,CAM
Falcao,31,Colombia,84,AS Monaco,€28M,ST
L. Koscielny,31,France,84,Arsenal,€21M,CB
G. Cahill,31,England,84,Chelsea,€21M,CB
Dani Alves,34,Brazil,84,Paris Saint-Germain,€9M,RB
A. Gómez,29,Argentina,84,Atalanta,€31M,ST
Aduriz,36,Spain,84,Athletic Club de Bilbao,€11M,ST
K. Mbappé,18,France,83,Paris Saint-Germain,€41.5M,ST
O. Dembélé,20,France,83,FC Barcelona,€40M,CAM
N. Keïta,22,Guinea,83,RB Leipzig,€34M,CAM
J. Giménez,22,Uruguay,83,Atlético Madrid,€28.5M,CB
G. Rulli,25,Argentina,83,Real Sociedad,€25.5M,GK
T. Lemar,21,France,83,AS Monaco,€38.5M,LM
João Mário,24,Portugal,83,Inter,€34M,CAM
N. Süle,21,Germany,83,FC Bayern Munich,€30.5M,CB
Ederson,23,Brazil,83,Manchester City,€26M,GK
Fabinho,23,Brazil,83,AS Monaco,€29.5M,CDM
M. Salah,25,Egypt,83,Liverpool,€32.5M,RW
A. Belotti,23,Italy,83,Torino,€37M,ST
E. Forsberg,25,Sweden,83,RB Leipzig,€31.5M,LM
Marquinhos,23,Brazil,83,Paris Saint-Germain,€30.5M,CB
William Carvalho,25,Portugal,83,Sporting CP,€27.5M,CM
S. Umtiti,23,France,83,FC Barcelona,€29.5M,CB
R. Mahrez,26,Algeria,83,Leicester City,€30.5M,RM
V. van Dijk,25,Netherlands,83,Southampton,€27.5M,CB
Roberto Firmino,25,Brazil,83,Liverpool,€34M,CAM
Danilo Pereira,25,Portugal,83,FC Porto,€27.5M,CM
Vitolo,27,Spain,83,UD Las Palmas,€27M,RM
A. Lopes,26,Portugal,83,Olympique Lyonnais,€22.5M,GK
S. de Vrij,25,Netherlands,83,Lazio,€29M,CB
M. Perin,24,Italy,83,Genoa,€25M,GK
J. Matip,25,Cameroon,83,Liverpool,€26.5M,CB
I. Gueye,27,Senegal,83,Everton,€24.5M,CM
Iago Aspas,29,Spain,83,RC Celta de Vigo,€26M,RW
N. Otamendi,29,Argentina,83,Manchester City,€20M,CB
N. Matić,28,Serbia,83,Manchester United,€21M,CM
J. Pastore,28,Argentina,83,Paris Saint-Germain,€25.5M,RW
Parejo,28,Spain,83,Valencia CF,€25.5M,CDM
S. Kagawa,28,Japan,83,Borussia Dortmund,€26M,CF
G. Bonaventura,27,Italy,83,Milan,€26.5M,LW
B. Dost,28,Netherlands,83,Sporting CP,€27M,ST
K. Walker,27,England,83,Manchester City,€24M,RWB
Oscar,25,Brazil,83,,€0,CAM
S. N'Zonzi,28,France,83,Sevilla FC,€21M,CM
M. Musacchio,26,Argentina,83,Milan,€27M,CB
O. Toprak,27,Turkey,83,Borussia Dortmund,€24.5M,CB
José Callejón,30,Spain,83,Napoli,€24.5M,RW
Adrien Silva,28,Portugal,83,,€0,CDM
S. Giovinco,30,Italy,83,Toronto FC,€25M,ST
N. Gaitán,29,Argentina,83,Atlético Madrid,€25.5M,LM
M. Mandžukić,31,Croatia,83,Juventus,€23.5M,LM
A. Lallana,29,England,83,Liverpool,€25M,CM
B. Höwedes,29,Germany,83,Juventus,€20M,CB
E. Banega,29,Argentina,83,Sevilla FC,€25.5M,CM
Rui Patrício,29,Portugal,83,Sporting CP,€17.5M,GK
Y. Sommer,28,Switzerland,83,Borussia Mönchengladbach,€21M,GK
M. Schneiderlin,27,France,83,Everton,€25.5M,CM
Jonas,33,Brazil,83,SL Benfica,€16.5M,CF
K. Gameiro,30,France,83,Atlético Madrid,€25M,ST
L. Piszczek,32,Poland,83,Borussia Dortmund,€14.5M,CB
E. Garay,30,Argentina,83,Valencia CF,€19M,CB
A. Valencia,31,Ecuador,83,Manchester United,€17M,RB
K. Schmeichel,30,Denmark,83,Leicester City,€19M,GK
M. Dembélé,29,Belgium,83,Tottenham Hotspur,€25M,CDM
Borja Valero,32,Spain,83,Inter,€20M,CF
L. Perrin,31,France,83,AS Saint-Étienne,€17.5M,CB
L. Biglia,31,Argentina,83,Milan,€17.5M,CM
Juanfran,32,Spain,83,Atlético Madrid,€14.5M,RB
Diego López,35,Spain,83,RCD Espanyol,€6M,GK
Santi Cazorla,32,Spain,83,Arsenal,€19.5M,CDM
J. Mascherano,33,Argentina,83,FC Barcelona,€10.5M,CDM
W. Sneijder,33,Netherlands,83,OGC Nice,€15.5M,CAM
Nani,30,Portugal,83,Lazio,€24.5M,LM
D. De Rossi,33,Italy,83,Roma,€10.5M,CDM
José Reina,34,Spain,83,Napoli,€10.5M,GK
Quaresma,33,Portugal,83,Beşiktaş JK,€15.5M,LM
Y. Touré,34,Ivory Coast,83,Manchester City,€12.5M,CDM
Casillas,36,Spain,83,FC Porto,€3.5M,GK
G. Donnarumma,18,Italy,82,Milan,€28.5M,GK
L. Sané,21,Germany,82,Manchester City,€34.5M,LM
T. Bakayoko,22,France,82,Chelsea,€26M,CM
C. Tolisso,22,France,82,FC Bayern Munich,€30.5M,CDM
I. Slimani,29,Algeria,82,Leicester City,€22M,ST
N. Fekir,23,France,82,Olympique Lyonnais,€28M,ST
J. Seri,25,Ivory Coast,82,OGC Nice,€26M,CDM
K. Baldé Diao,22,Senegal,82,AS Monaco,€32.5M,ST
J. Tah,21,Germany,82,Bayer 04 Leverkusen,€26M,CB
F. Bernardeschi,23,Italy,82,Juventus,€30.5M,LM
T. Werner,21,Germany,82,RB Leipzig,€30.5M,ST
André Gomes,23,Portugal,82,FC Barcelona,€30M,CAM
A. Martial,21,France,82,Manchester United,€33M,ST
L. Goretzka,22,Germany,82,FC Schalke 04,€30M,CDM
Q. Promes,25,Netherlands,82,Spartak Moscow,€28M,LM
Lucas Vázquez,26,Spain,82,Real Madrid CF,€26M,RM
Saúl,22,Spain,82,Atlético Madrid,€32M,RM
Felipe,28,Brazil,82,FC Porto,€18M,CB
C. Bacca,30,Colombia,82,Villarreal CF,€21.5M,ST
F. Vázquez,28,Italy,82,Sevilla FC,€22.5M,CF
M. Kovačić,23,Croatia,82,Real Madrid CF,€30M,CDM
Sergio Rico,23,Spain,82,Sevilla FC,€21.5M,GK
Manu Trigueros,25,Spain,82,Villarreal CF,€27.5M,CAM
A. Rüdiger,24,Germany,82,Chelsea,€24.5M,RB
F. Thauvin,24,France,82,Olympique de Marseille,€28M,RM
S. Savić,26,Montenegro,82,Atlético Madrid,€24M,CB
Iñigo Martínez,26,Spain,82,Real Sociedad,€24M,CB
Roque Mesa,28,Spain,82,Swansea City,€18M,CM
A. Florenzi,26,Italy,82,Roma,€22M,CM
D. Klaassen,24,Netherlands,82,Everton,€27.5M,CAM
K. Bellarabi,27,Germany,82,Bayer 04 Leverkusen,€23M,RM
R. Sterling,22,England,82,Manchester City,€29.5M,LM
Suso,23,Spain,82,Milan,€29.5M,RW
Deulofeu,23,Spain,82,FC Barcelona,€31M,RW
E. Dier,23,England,82,Tottenham Hotspur,€25M,CM
M. Rojo,27,Argentina,82,Manchester United,€21M,LB
Lucas,24,Brazil,82,Paris Saint-Germain,€28M,LW
H. Son,24,Korea Republic,82,Tottenham Hotspur,€28M,ST
F. Acerbi,29,Italy,82,Sassuolo,€17M,CB
G. Xhaka,24,Switzerland,82,Arsenal,€27.5M,CDM
Jonathan Viera,27,Spain,82,UD Las Palmas,€23M,CAM
Pizzi,27,Portugal,82,SL Benfica,€23M,RM
Willian José,25,Brazil,82,Real Sociedad,€29M,ST
O. Baumann,27,Germany,82,TSG 1899 Hoffenheim,€18M,GK
G. Medel,29,Chile,82,Beşiktaş JK,€17M,CB
Víctor Ruíz,28,Spain,82,Villarreal CF,€20M,CB
X. Shaqiri,25,Switzerland,82,Stoke City,€28M,RW
J. Cuadrado,29,Colombia,82,Juventus,€21.5M,RM
C. Immobile,27,Italy,82,Lazio,€26M,ST
Douglas Costa,26,Brazil,82,Juventus,€24M,RM
N. Clyne,26,England,82,Liverpool,€22M,RB
Iborra,29,Spain,82,Leicester City,€17M,CAM
K. Trapp,26,Germany,82,Paris Saint-Germain,€18.5M,GK
V. Wanyama,26,Kenya,82,Tottenham Hotspur,€23M,CM
Taison,29,Brazil,82,Shakhtar Donetsk,€21.5M,CAM
Marlos,29,Brazil,82,Shakhtar Donetsk,€21.5M,RM
L. Stindl,28,Germany,82,Borussia Mönchengladbach,€23M,CAM
M. Balotelli,26,Italy,82,OGC Nice,€24.5M,ST
A. Ramsey,26,Wales,82,Arsenal,€25.5M,RM
W. Szczęsny,27,Poland,82,Juventus,€18M,GK
G. Sigurðsson,27,Iceland,82,Everton,€23M,LM
Y. Brahimi,27,Algeria,82,FC Porto,€23M,LM
M. Arnautović,28,Austria,82,West Ham United,€22.5M,LW
J. Henderson,27,England,82,Liverpool,€21.5M,CM
M. Kruse,29,Germany,82,SV Werder Bremen,€22M,CAM
O. Karnezis,31,Greece,82,Watford,€13.5M,GK
L. Fejsa,28,Serbia,82,SL Benfica,€18M,CM
F. Muslera,31,Uruguay,82,Galatasaray SK,€13.5M,GK
V. Ćorluka,31,Croatia,82,Lokomotiv Moscow,€15M,CB
G. Wijnaldum,26,Netherlands,82,Liverpool,€27M,CAM
F. Fazio,30,Argentina,82,Roma,€16.5M,CB
O. Giroud,30,France,82,Arsenal,€21.5M,ST
B. Ivanović,33,Serbia,82,Zenit St. Petersburg,€9M,RB
J. Hernández,29,Mexico,82,West Ham United,€22M,ST
Beñat,30,Spain,82,Athletic Club de Bilbao,€20.5M,CM
L. Bender,28,Germany,82,Bayer 04 Leverkusen,€20M,CM
A. Witsel,28,Belgium,82,,€0,CAM
C. Bravo,34,Chile,82,Manchester City,€9M,GK
A. Begović,30,Bosnia Herzegovina,82,Bournemouth,€14M,GK
Naldo,34,Brazil,82,FC Schalke 04,€6.5M,CB
D. Sturridge,27,England,82,Liverpool,€23.5M,ST
D. Rose,26,England,82,Tottenham Hotspur,€21M,LWB
C. Vela,28,Mexico,82,Real Sociedad,€22.5M,ST
E. Viviano,31,Italy,82,Sampdoria,€13.5M,GK
G. Castro,30,Germany,82,Borussia Dortmund,€20.5M,RM
S. Nasri,30,France,82,Antalyaspor,€21M,RM
A. Williams,32,Wales,82,Everton,€12.5M,CB
S. Mandanda,32,France,82,Olympique de Marseille,€12.5M,GK
L. Baines,32,England,82,Everton,€12.5M,LB
A. Consigli,30,Italy,82,Sassuolo,€14M,GK
João Moutinho,30,Portugal,82,AS Monaco,€20.5M,CAM
B. Costil,29,France,82,Girondins de Bordeaux,€15M,GK
Raúl Albiol,31,Spain,82,Napoli,€15M,CB
J. Hart,30,England,82,West Ham United,€14M,GK
M. Gómez,31,Germany,82,VfL Wolfsburg,€20M,ST
Raffael,32,Brazil,82,Borussia Mönchengladbach,€17.5M,ST
A. Turan,30,Turkey,82,FC Barcelona,€20.5M,LW
Fernandinho,32,Brazil,82,Manchester City,€12.5M,RB
David Villa,35,Spain,82,New York City Football Club,€10M,ST
S. Lichtsteiner,33,Switzerland,82,Juventus,€8.5M,RM
R. Jarstein,32,Norway,82,Hertha BSC Berlin,€12.5M,GK
Gabriel Jesus,20,Brazil,81,Manchester City,€31M,ST
Nélson Semedo,23,Portugal,81,FC Barcelona,€20.5M,RB
Gelson Martins,22,Portugal,81,Sporting CP,€25M,LM
Malcom,20,Brazil,81,Girondins de Bordeaux,€24.5M,RM
J. Weigl,21,Germany,81,Borussia Dortmund,€21M,CM
D. Sánchez,21,Colombia,81,Tottenham Hotspur,€21.5M,CB
A. Kramarić,26,Croatia,81,TSG 1899 Hoffenheim,€22M,LW
M. Brozović,24,Croatia,81,Inter,€23M,CDM
Williams,23,Spain,81,Athletic Club de Bilbao,€24.5M,LW
Dani García,27,Spain,81,SD Eibar,€17M,CDM
A. Christensen,21,Denmark,81,Chelsea,€23M,CDM
J. Kimmich,22,Germany,81,FC Bayern Munich,€20.5M,CDM
Bruma,22,Portugal,81,RB Leipzig,€24M,RM
D. Berardi,22,Italy,81,Sassuolo,€24.5M,RW
M. Sanson,22,France,81,Olympique de Marseille,€24M,CDM
A. Rabiot,22,France,81,Paris Saint-Germain,€23.5M,CM
R. Guerreiro,23,Portugal,81,Borussia Dortmund,€24M,CM
J. Vardy,30,England,81,Leicester City,€17M,ST
H. Ziyech,24,Morocco,81,Ajax,€23M,CAM
M. Keane,24,England,81,Everton,€21M,CB
Jorginho,25,Italy,81,Napoli,€22M,CM
Héctor Bellerín,22,Spain,81,Arsenal,€21M,RB
J. Butland,24,England,81,Stoke City,€18M,GK
S. Zaza,26,Italy,81,Valencia CF,€21M,ST
T. Meunier,25,Belgium,81,Paris Saint-Germain,€18.5M,RM
Felipe Anderson,24,Brazil,81,Lazio,€24M,RM
Rafinha,24,Brazil,81,FC Barcelona,€23.5M,RW
Nacho Fernández,27,Spain,81,Real Madrid CF,€17.5M,RB
J. Cillessen,28,Netherlands,81,FC Barcelona,€15M,GK
Sergi Roberto,25,Spain,81,FC Barcelona,€19.5M,CM
W. Ben Yedder,26,France,81,Sevilla FC,€21M,ST
Lucas Pérez,28,Spain,81,RC Deportivo de La Coruña,€18.5M,ST
R. Barkley,23,England,81,Everton,€24M,RW
C. Bakambu,26,DR Congo,81,Villarreal CF,€22.5M,LM
W. Zaha,24,Ivory Coast,81,Crystal Palace,€22.5M,LM
Bartra,26,Spain,81,Borussia Dortmund,€18M,CB
S. Aurier,24,Ivory Coast,81,Tottenham Hotspur,€19M,RB
S. Coates,26,Uruguay,81,Sporting CP,€18M,CB
G. Krychowiak,27,Poland,81,West Bromwich Albion,€17.5M,CDM
K. Kampl,26,Slovenia,81,RB Leipzig,€21M,CAM
D. Lovren,27,Croatia,81,Liverpool,€17.5M,CB
A. Yarmolenko,27,Ukraine,81,Borussia Dortmund,€18.5M,RM
Y. Belhanda,27,Morocco,81,Galatasaray SK,€18.5M,LW
Mário Fernandes,26,Russia,81,CSKA Moscow,€17M,RM
R. Rodríguez,24,Switzerland,81,Milan,€18.5M,CB
J. Corona,24,Mexico,81,FC Porto,€23M,RM
Mario Gaspar,26,Spain,81,Villarreal CF,€18M,RB
Marcos Alonso,26,Spain,81,Chelsea,€17.5M,LB
M. Götze,25,Germany,81,Borussia Dortmund,€22.5M,CAM
L. Hrádecký,27,Finland,81,Eintracht Frankfurt,€14.5M,GK
Illarramendi,27,Spain,81,Real Sociedad,€18M,CM
De Marcos,28,Spain,81,Athletic Club de Bilbao,€14M,RB
C. Smalling,27,England,81,Manchester United,€17M,CB
Iturraspe,28,Spain,81,Athletic Club de Bilbao,€17.5M,CM
J. Wilshere,25,England,81,Arsenal,€22M,CDM
S. Rudy,27,Germany,81,FC Bayern Munich,€20M,RM
M. Lanzini,24,Argentina,81,West Ham United,€24.5M,LM
R. Boudebouz,27,Algeria,81,Real Betis Balompié,€20.5M,CAM
Camacho,27,Spain,81,VfL Wolfsburg,€18M,CM
Paulinho,28,Brazil,81,FC Barcelona,€17.5M,CDM
N. Kalinić,29,Croatia,81,Milan,€18M,ST
Giuliano,27,Brazil,81,Fenerbahçe SK,€20.5M,CAM
C. Benteke,26,Belgium,81,Crystal Palace,€22M,ST
D. Perotti,28,Argentina,81,Roma,€18M,CF
M. Parolo,32,Italy,81,Lazio,€13.5M,CDM
K. Mitroglou,29,Greece,81,Olympique de Marseille,€18M,ST
M. Sakho,27,France,81,Crystal Palace,€17M,CB
A. Rami,31,France,81,Olympique de Marseille,€12M,CB
S. Jovetić,27,Montenegro,81,AS Monaco,€21M,CAM
S. Coleman,28,Republic of Ireland,81,Everton,€14M,RB
S. Kjær,28,Denmark,81,Sevilla FC,€16M,CB
Adán,30,Spain,81,Real Betis Balompié,€11.5M,GK
M. Valbuena,32,France,81,Fenerbahçe SK,€14M,LM
S. Mignolet,29,Belgium,81,Liverpool,€12M,GK
D. Astori,30,Italy,81,Fiorentina,€13M,CB
K. Mirallas,29,Belgium,81,Everton,€17.5M,LW
Raúl García,30,Spain,81,Athletic Club de Bilbao,€17M,RW
M. Škrtel,32,Slovakia,81,Fenerbahçe SK,€10M,CB
T. Heaton,31,England,81,Burnley,€11M,GK
H. Ben Arfa,30,France,81,Paris Saint-Germain,€17M,ST
Dante,33,Brazil,81,OGC Nice,€7M,CB
A. Gignac,31,France,81,Tigres U.A.N.L.,€16M,ST
Gabi,33,Spain,81,Atlético Madrid,€10.5M,CM
G. Rodríguez,33,Argentina,81,San Lorenzo de Almagro,€7M,CB
D. Srna,35,Croatia,81,Shakhtar Donetsk,€3.8M,RB
B. Schweinsteiger,32,Germany,81,Chicago Fire Soccer Club,€13.5M,CDM
C. Carrasso,35,France,81,Galatasaray SK,€4.2M,GK
Moyá,33,Spain,81,Atlético Madrid,€9M,GK
W. Rooney,31,England,81,Everton,€15.5M,ST
P. Mertesacker,32,Germany,81,Arsenal,€10M,CB
T. Motta,34,Italy,81,Paris Saint-Germain,€5.5M,CDM
Fernando Torres,33,Spain,81,Atlético Madrid,€11M,ST
S. Eto'o,36,Cameroon,81,Antalyaspor,€6.5M,ST
M. Rashford,19,England,80,Manchester United,€22M,RM
S. Milinković-Savić,22,Serbia,80,Lazio,€20M,CAM
Y. Tielemans,20,Belgium,80,AS Monaco,€23.5M,CAM
Jemerson,24,Brazil,80,AS Monaco,€17.5M,CB
N. Bentaleb,22,Algeria,80,FC Schalke 04,€19.5M,CDM
Alisson,24,Brazil,80,Roma,€14M,GK
Alex Telles,24,Brazil,80,FC Porto,€16M,LB
J. Brandt,21,Germany,80,Bayer 04 Leverkusen,€22M,CAM
K. Demirbay,23,Germany,80,TSG 1899 Hoffenheim,€19.5M,CM
D. Rugani,22,Italy,80,Juventus,€19M,CB
Samu Castillejo,22,Spain,80,Villarreal CF,€20M,LM
P. Zieliński,23,Poland,80,Napoli,€20.5M,CM
Ricardo Pereira,23,Portugal,80,FC Porto,€17M,RM
Grimaldo,21,Spain,80,SL Benfica,€17.5M,LB
Fred,24,Brazil,80,Shakhtar Donetsk,€19.5M,CAM
J. Hector,27,Germany,80,1. FC Köln,€14M,LB
E. Can,23,Germany,80,Liverpool,€19.5M,CDM
S. Kolašinac,24,Bosnia Herzegovina,80,Arsenal,€15.5M,LM
Arrizabalaga,22,Spain,80,Athletic Club de Bilbao,€15.5M,GK
A. Pléa,24,France,80,OGC Nice,€20.5M,RM
T. Stepanenko,27,Ukraine,80,Shakhtar Donetsk,€14M,CDM
O. Shatov,26,Russia,80,Zenit St. Petersburg,€16M,RW
Leo Baptistao,24,Brazil,80,RCD Espanyol,€19M,RM
M. Nastasić,24,Serbia,80,FC Schalke 04,€16.5M,CB
Denis Suárez,23,Spain,80,FC Barcelona,€20.5M,RM
M. Batshuayi,23,Belgium,80,Chelsea,€20M,ST
J. Brooks,24,United States,80,VfL Wolfsburg,€17M,CB
Eric Botteghin,29,Brazil,80,Feyenoord,€11.5M,CB
L. Karius,24,Germany,80,Liverpool,€14M,GK
T. Hazard,24,Belgium,80,Borussia Mönchengladbach,€19.5M,RM
V. Germain,27,France,80,Olympique de Marseille,€16M,ST
L. Kurzawa,24,France,80,Paris Saint-Germain,€16.5M,LB
J. Iličić,29,Slovenia,80,Atalanta,€15M,CAM
K. Volland,24,Germany,80,Bayer 04 Leverkusen,€19M,LW
Allan,26,Brazil,80,Napoli,€17.5M,CM
P. Hernández,30,Chile,80,RC Celta de Vigo,€13.5M,CAM
D. Tadić,28,Serbia,80,Southampton,€15M,RM
L. Muriel,26,Colombia,80,Sevilla FC,€18.5M,ST
Pablo Sarabia,25,Spain,80,Sevilla FC,€18.5M,CM
A. Oxlade-Chamberlain,23,England,80,Liverpool,€20M,RWB
J. Guilavogui,26,France,80,VfL Wolfsburg,€15M,CM
O. Özyakup,24,Turkey,80,Beşiktaş JK,€19.5M,CDM
Y. Rakitskyi,27,Ukraine,80,Shakhtar Donetsk,€14.5M,CB
Sergi Enrich,27,Spain,80,SD Eibar,€17.5M,ST
Neto,27,Brazil,80,Valencia CF,€10M,GK
Hugo Mallo,26,Spain,80,RC Celta de Vigo,€15M,CB
D. Didavi,27,Germany,80,VfL Wolfsburg,€17M,CM
R. Soriano,26,Italy,80,Villarreal CF,€17.5M,CM
A. Schürrle,26,Germany,80,Borussia Dortmund,€17.5M,LW
